type:same_pinyin
优先审评加速审评明显，	优先绅评加速审评明显，
近几年我国*完成审评的新药临床我国医药创新已经拥有了丰富的研发储备，	近几年我国*完成审评的药临床我国医药创新已经拥有了丰富的研发储备，
华大基因子公司武汉生物科技申报遗传性耳聋基因检测试剂盒注册获得受理。	华大基因子公司武汉生物科技申报遗传性耳聋基因检试剂盒注册获得受理。
**月利润高总额增速的快速下滑可能意味着之前延迟确认的费用已逐步进入工业端，	**月利润高额增速的快速下滑可能意味着之前延迟确认的费用已逐步进入工业端，
**年补益养生类销售增速始终保持在两位数快速增长。	**年补益养生类销售增始终保持在两位数快速增长。
医疗器械企业规模仍与国际医疗器械巨头存在一定的差距，	医疗器械企业规模仍与国际医疗器械头存在一定的差距，
改革红利逐步释放，新药获批逐步加速。	改革红利逐步释放，新药获逐步加速。
从内容上看，原研药品选择顺序依次为国内上市的原研药品经审核确定的国外原研企业在中国境内生产或经技术转移生产的药品未进口原研药品，	从内容上看，原研药品选择顺序依次为国内上市的原研药品经审核确定的国外原研业在中国境内生产或经技术转移生产的药品未进口原研药品，
利妥昔单抗为全球销售额前十的药物，	利昔单抗为全球销售额前十的药物，
关于改革药品医疗器械审评审批制度的意见奠定了鼓励新药研发的行业主基调。	关于改革品医疗器械审评审批制度的意见奠定了鼓励新药研发的行业主基调。
康复机器人的需求也将不断提高，	康复机器的需求也将不断提高，
盈利能力提升，现金流有所改善。	盈利能力提升，现金流所改善。
而造血干细胞的来源逐渐从骨髓替换为外周血，进而是脐带血。	而血干细胞的来源逐渐从骨髓替换为外周血，进而是脐带血。
由于日本医疗器械行业的发展和成熟晚于药品，	由于日本医疗器械业的发展和成熟晚于药品，
全球骨科耗材市场集中，	全球骨科耗市场集中，
而医疗信息化和医药电商因为行业发展较早，	而医疗信息化和医药商因为行业发展较早，
水针剂型获得*批文的企业目前只有金赛药业和诺和诺德*家，	水针剂型获得*批文的企业目前只有赛药业和诺和诺德*家，
制药工业医药流通受限于药械招标压力，	制药工业医药流通受限于药招标压力，
加快创新药审评审批等文件出台，	加快创新药审审批等文件出台，
医药科技股将畅享十九大鼓励创新发展红利。	医药科技股将享十九大鼓励创新发展红利。
预计截至*年年底，平安好医生签约的三甲医院副主任以上级名医将达到*人，	预计截至*年年底，平安好医生签约的三医院副主任以上级名医将达到*人，
云南白药复星医药康美药业迈入*亿元以上市值阶段。	云南白药复星医药美药业迈入*亿元以上市值阶段。
建议关注济川药业葵花药业东阳光药等。	建议关注济川药业花药业东阳光药等。
已有主要业务西药原料药和中间体中药体外诊断业绩表现良好，	已有主要业务西药料药和中间体中药体外诊断业绩表现良好，
经辽宁省药采工作小组办公室研究决定对卡培他滨片等*个国产抗癌药进行价格调整，	经辽宁省药采工作小组办公室研究决定对卡培他滨片等*个国产抗癌进行价格调整，
另一方面，通过国家医保谈判，	另一方面，通过国家保谈判，
也包括以利妥昔曲妥珠贝伐珠等为代表的生物仿制药。	也包括以利妥昔曲妥珠贝伐珠等为代表的生物仿药。
今年*月，国内专注抗丙肝等药物开发的生物科技公司歌礼生物率先提交在港上市申请，	今年*月，国内专注抗丙肝等药物开发的生物科公司歌礼生物率先提交在港上市申请，

type:change_word
打造慢病管理核心竞争力。	打造满病管理核心竞争力。
支出增速多年高于收入增速，	掷出增速多年高于收入增速，
肿瘤消融产品主要包括微波消融治疗仪和微波消融针等，	肿瘤消融产品主要包括苇箔笑容治疗仪和微波消融针等，
占比变化也比较平稳。	站比变化也比较平稳。
面对新药研发的高风险和商业化开拓的不确定性，	面对新要研发的高风险和商业化开拓的不确定性，
发病率中国食管癌胃癌结直肠癌发病率相对于美国和日本虽然较低，	发病率中国食管癌为爱结直肠癌发病率相对于美国和日本虽然较低，
监管趋严进一步放大单体药店和连锁药店龙头的差距，	监管趋严进一步放大单体幺点和连锁药店龙头的差距，
华金证券股仹有限公叵对本声明条款具有惟一修改权和最终解释权。	话进证券股仹有限公叵对本声明条款具有惟一修改权和最终解释权。
匹伐他汀已跃居第三位；	批发它汀已跃居第三位；
建立质量管理体系，承担药品检查的具体实施工作。	建立志良管理体系，承担药品检查的具体实施工作。
跨国药企并没有变的更激进。	跨国摇旗并没有变的更激进。
在全国*省直辖市共*家民营医疗美容机构开展医疗美容机构评价标准评价试点工作，	在全国*省直辖市共*家民营一料美容机构开展医疗美容机构评价标准评价试点工作，
鼓励分级诊疗和民营医院建设的政策带来新的设备购置需求等。	鼓励分集诊疗和民营医院建设的政策带来新的设备购置需求等。
近年来，以卫生院和社区卫生服务中心为代表的基层医疗机构已成为各大零售药店并购的目标。	近年来，以卫生院和社区卫生服务重心为代表的基层医疗机构已成为各大零售药店并购的目标。
有望年内获批，且*适应症*期临床正常进行，	有望年內获批，且*适应症*期临床正常进行，
未来看好行业整合后龙头集中度显著提升，业绩有望明显回升。	未来看好行业整合后龙头集中度显著提升，野鸡有望明显回升。
公司正为*个疾病领域研发*种在研疫苗，	公司正为*个疾病领域研发*种在验疫苗，
其中连锁药店有*万家，连锁化率达到*。	其中联锁要点有*万家，连锁化率达到*。
市场空间广阔，未来有望诞生多个重磅品种。	市场空间广阔，未来有望诞生多个中帮品种。
与*相比，公司增加了**及*抗原含量令其可产生更强的免疫应答。	与*相比，公司增加了**及*抗原含量令其可产生更强的棉衣应答。
成为体外诊断领域发展最快，	成为体歪诊断领域发展最快，
药品一致性评价医保支付方式改革和两票制等政策处于推进阶段，	药品一致性评价一包支付方式改革和两票制等政策处于推进阶段，
目前来看生长激素这些适应症中使用最广泛的领域是儿童成人生长激素缺乏儿童特发性矮小*综合征等。	目前来看生长激素这些适应症中使用最广泛的领域是儿童成人生长激素缺乏儿童特发行爱笑*综合征等。
公司有权优先进行谈判获得商业化权利。	公司有权优先进行谈判获得商业化全力。
进入到*年以来，韩国医美市场开始爆发，	进入到*年以来，韩国易美市场开始爆发，
短期有推动一致性评价过评品种预期改善带来的结构性机会，	短期有推动一致性评价过评品种预期改善带来的结构性即会，
在医械行业的并购史中，	在一谢行业的并购史中，
推动修订药品管理法，力争早日在全国推开。	推动修订药品管理乏，力争早日在全国推开。
康弘药业的文拉法辛一致性评价工作也在顺利推进。	康弘药业的文拉法辛移植性平价工作也在顺利推进。
可通过提交变更工艺申请视同通过一致性评价，	可通过提交变更工艺申请视同通过一致性平价，
基于**模型的期权定价模型在新药研发项目中能否运用还有待模型中参数变量的确定，	基于**模型的期权定价模型在心要研发项目中能否运用还有待模型中参数变量的确定，
更多向潜力大尚处培育期的二三线城市扩张，以占据先发优势。	更多向潜力大尚处培育期的二三线城市扩张，以占据宪法优势。
分季度数据看剔除上海莱士天坛生物和沃森生物后，	分季度数据看剔除上海莱士天坛生物和我椮生物后，
包括甘精胰岛素门冬胰岛素等*个产品，	包括干净一道素门冬胰岛素等*个产品，
包括双特异性抗体抗体偶联物**类药物等都将给予重点支持。	包括双特异行抗体抗体偶联物**类药物等都将给予重点支持。
随着环保门槛的提高，诸多小型原料药生产商被迫退出市场，	随着环保门槛的提高，诸多小型原料药生产上被迫退出市场，
关于加强基本医疗保险基金预算管理发挥医疗保险基金控费作用的意见出台，	关于加强基本医疗保险极尽预算管理发挥医疗保险基金控费作用的意见出台，
近年来，人们也进行了一些基于单抗药物的改进研究，	近年来，人们也进行了一些基于但抗药务的改进研究，
净利达*万公司简介公司利用自有技术和生产工艺研发生产头孢类原料药及中间体。	净利达*万公司间接公司利用自有技术和生产工艺研发生产头孢类原料药及中间体。
每到季末和年底为防止用药超限，	每到即墨和年底为防止用药超限，
随着自查核查负面影响逐步消化，	随着自查河叉负面影响逐步消化，
省级组织带量采购议价的药品范围也相对有限。	省级组织代量采购议价的药品范围也相对有限。
*项准备开展*期临床试验，	*项准备开展*期临床饰演，
*年的估值溢价幅度实际上仍较为有限。	*年的股指一家幅度实际上仍较为有限。
研发投入占比工业*，被低估的创新药标的公司*年研发投入*亿，	研发投入站必工业*，被低估的创新药标的公司*年研发投入*亿，
医药分家处方外流呼声迫切，	一药粉家处方外流呼声迫切，
至*年底，全国基本医疗保险参保人数超过*亿人，	至*年底，全国基本医疗保险残暴稔熟超过*亿人，
药审中心可通过沟通交流或补充资料方式告否定或质疑意见的，	腰身中心可通过沟通交流或补充资料方式告否定或质疑意见的，
*大型并购案往往发生在资本市场的高景气时期以及企业收入增速的下滑期。	*大型并购案往往发生在资本市场的高景气时期以及企业授乳增速的下滑期。
公司与汉麻集团深入合作，	公司与汉马集团深入合作，
包括康复医疗中心，护理中心消毒供应中心中小型眼科医院健康体检中心。	包括康复医疗中心，护理中心消毒共赢中心中小型眼科医院健康体检中心。
中国药企销售费用存在六大流向，	中国摇旗销售费用存在六大流向，
*创新药及*创新*条加速审评审批，	*创新药及*创新*条加速什平审批，
现任联讯证券研究院新三板研究组组长。	现任联讯证券研究院新三班研究组组长。
中国医药企业*平均账面回报倍数是*。	中国医药企业*平均账面汇报倍数是*。
扩展到现在的凝血检测血气和电解质分析心脏标志物快速诊断药物滥用筛检肿瘤标志物检测毒品检测等多个项目，	扩展到现在的凝血检测血气和电解质分析心脏标志物快速诊断药物滥用筛检肿瘤标志无检测毒品检测等多个项目，
但经历了此前药品**带量采购的洗礼，	但经历了此前药品**带两采购的洗礼，
辅料行业面临质量技术全面升级，	服料行业面临质量技术全面升级，
实行直接挂网采购，以企业提供并作出承诺的全国最低*省入围价的平均值作为挂网参考价，	实行直接寡网采购，以企业提供并作出承诺的全国最低*省入围价的平均值作为挂网参考价，
且国内抗体药物企业众多，	且国内康体药物企业众多，
近期收质安迪科又将新收获*个核药房，	近期收质安迪科又将新收获*个何药方，
企业的成本将节省高达*左右，	企业的成本将节省高大*左右，
智飞生物子公司自主研发的母牛分枝杆菌疫苗正式纳入优先审评品种。	之费生物子公司自主研发的母牛分枝杆菌疫苗正式纳入优先审评品种。
其二，美年健康积极探索和打造健康产业生态圈，	其二，美年健康积极探索和打造健康产业生泰拳，
关键内容大力发展用于重大疾病防治的生物技术药物新型疫苗和诊断试剂化学药物现代中药等创新药物大品种，	关键内容大力发展用于重大疾病防治的生物技术药物新型疫苗和诊断实际化学药物现代中药等创新药物大品种，
基金支付与医保目录制定医疗产品定价三种职能齐集于医保局，	基金支付与翼豹目录制定医疗产品定价三种职能齐集于医保局，
后续带量采购政策影响风险；市场竞争加剧风险。	后续代两采购政策影响风险；市场竞争加剧风险。
全国*个省市自治区两票制政策基本出台完毕。	全国*个省市自治区粮票制政策基本出台完毕。
板块龙头企业通策医疗美年健康爱尔眼科的高速增长带动了整个板块收入端*以上的增速。	板块龙头企业同册医疗美年健康爱尔眼科的高速增长带动了整个板块收入端*以上的增速。
有*个品种已获批临床。	有*个品种已活皮临床。
目前中国除试点省份外，	目前中国除试点生分外，
提高议价能力，降低采购成本；	提高宜家能力，降低采购成本；
溶瘤病毒起源于小型研发企业，	容流病毒起源于小型研发企业，
相比于*，目前我国创新药企业*的数量则较少，	相比于*，目前我国创新要起业*的数量则较少，
而西欧中国印度都是主要原料药出口基地。	而西欧中国印度都是主要原料要出口基地。
审评通过的，视同通过一致性评价。	审评通过的，是同通过一致性评价。
注蓝色框表示估计值，计算中均假设①样本医院瑞舒伐他汀钙销售按*增速增长；	注蓝色框表示估计值，计算中均假设①样本议员瑞舒伐他汀钙销售按*增速增长；
*溶瘤病毒进入*期临床，	*容流病毒进入*期临床，
临床疗效好的品种将逐步挤占辅助用药的市场份额。	临床疗效好的品种将逐步挤占扶助用药的市场份额。
巴利昔单抗用于治疗肾移植排斥反应，	巴利西单抗用于治疗肾移植排斥反应，
这些靶点适用于包括使用单克隆抗体在内的不同治疗方式。	这些靶点适用于包括使用单克隆康体在内的不同治疗方式。
目前在研的长效生长激素产品中，	目前在研的张晓生长寄宿产品中，
卫计委医政医管局有关人士各省市县三级卫计委医政医管处负责人和二级以上医院院长参加了此次会议一是确定细胞免疫治疗仍然属于临床研究阶段，	卫计委医政医管局有关人士各省市县三级卫计委议政一贯出负责人和二级以上医院院长参加了此次会议一是确定细胞免疫治疗仍然属于临床研究阶段，
*年美国新药获批数量占比全球的*，	*年美国信要获批数量占比全球的*，
任何人不得对本报告进行任何形式的发布复制传播，	任何人不得堆本报告进行任何形式的发布复制传播，
叠加前期获批的阿帕替尼硫培非格司亭吡咯替尼等重磅品种，	叠加前期获批的阿帕替尼硫培非格司亭吡咯提你等重磅品种，
而大多数竞争对手的脑膜炎球菌疫苗都含有苯酚。	而大多数竞争对手的脑膜眼球军疫苗都含有苯酚。
智飞生物控股股东实际控制人蒋仁生质押*万股股票，	直飞生务控股股东实际控制人蒋仁生质押*万股股票，
四是深度跨区域整合的连锁药店；	四是深度跨区域整合的连锁要点；
*公司中，以药石科技的毛利率最高，	*公司中，以要事科技的毛利率最高，
需要加强学术推广，故销售费用率有一定程度的上升，	需要加强学术推广，故销售费用旅有一定程度的上升，
在美国开展晚期实体瘤患者的临床研究。	在美国开展晚期实提留患者的临床研究。
打造慢病管理核心竞争力。	打造满病管理核心竞争力。
展望未来**价肺炎疫苗处于申报生产的审评阶段，	展望未来**价肺炎疫苗处于申报生产的审评截断，
康圣环球的收入规模较小。	康圣环球的收入规模娇小。
在医疗器械细分领域中，	在医疗器械细分领驭中，
药审改革政策频出，监管门槛大幅提升，	药审改革政策品出，监管门槛大幅提升，
我们预计近期有望结束审评审批并获批上市。	我们预计近期有望结束审评审批并获批伤势。
是经营和估值筑底的医药分销区域龙头，	是经营和估值筑底的医药分校区域龙头，
*年作为新版医保落地元年，	*年作为新版异宝落地元年，
