type:same_pinyin
同比下跌*，价格下滑，实际走动依然迟缓。	同比下跌*，价格峡滑，实际走动依然迟缓。
这原本是为避免股权质押期限过长带来股东信用风险，	比面本是为避免股权质押期限过长带来股东信用风险，
糖皮质激素的销售占比最高。	皮脂急速素的销售占比最高。
核心品种增长稳健，新品种群加速放量，业绩确定性较强。	贺信品种增长稳健，新品种群加速放量，业绩确定性较强。
板块表现较为疲软，但我们看到板块的结构在持续优化，	交尾表现较为疲软，但我们看到板块的结构在持续优化，
晶状体是视光屈光的第二道折射，	去光体是视光屈光的第二道折射，
部分厂家因利润低环保压力大等多方因素停产或减产，	音速厂家因利润低环保压力大等多方因素停产或减产，
公司作为中核集团核技术应用产业放射性药物的专业公司，	专页作为中核集团核技术应用产业放射性药物的专业公司，
占总资产比例从*年的*上升至*。	粽子产产比例从*年的*上升至*。
我们认为对国内企业的借鉴意义是日化保健食品等大健康领域有可能打开*的市场空间；	国內认为对国内企业的借鉴意义是日化保健食品等大健康领域有可能打开*的市场空间；
增量需求的引导随着居民生活水平提升及对健康管理需求的日益旺盛，	举民需求的引导随着居民生活水平提升及对健康管理需求的日益旺盛，
品种的增量主要由首仿*带来，	有受访增量主要由首仿*带来，
为*，长春长生排第三，为*。	地伞，长春长生排第三，为*。
投资机构有更多方式可以与需要资金的初创企业对接。	方士机构有更多方式可以与需要资金的初创企业对接。
另一方面，上下联动政策以及不断涌现的医联体*等采购也得药企面临价格压力。	遗迹方面，上下联动政策以及不断涌现的医联体*等采购也得药企面临价格压力。
临床科室使用*就会分流检验科的收入，因此有利益博弈。	博易科室使用*就会分流检验科的收入，因此有利益博弈。
截止*年底覆盖医院数量超过*家，	一员*年底覆盖医院数量超过*家，
加强原料生药的采购体制相关项目；	乡贯原料生药的采购体制相关项目；
位列全球第三位，直逼位列第二的巴西。	全丘全球第三位，直逼位列第二的巴西。
对于医药板块来说，目前大多数制药公司由于未来政策存在一定的不确定性，	不确定性板块来说，目前大多数制药公司由于未来政策存在一定的不确定性，
但各个细分子行业几乎都已孕育出龙头级企业与相当数量的中大型企业，	七夜个细分子行业几乎都已孕育出龙头级企业与相当数量的中大型企业，
我们维持原先观点，成为中国医美龙头的关键在于医生资源的掌握。	关键再育原先观点，成为中国医美龙头的关键在于医生资源的掌握。
贺菊颖贺菊颖医药行业首席分析师，	分析是贺菊颖医药行业首席分析师，
从而快速实现异地扩张，	事先快速实现异地扩张，
不排除*证书可能被收回。	征戍除*证书可能被收回。
其他设市城市达到*，县城及重点镇达到*。	答道设市城市达到*，县城及重点镇达到*。
包括影像云端存储诊断分享质控培训和大数据服务等，	焚香影像云端存储诊断分享质控培训和大数据服务等，
国产与进口疫苗价差较大。	金口与进口疫苗价差较大。
包括液基细胞学免疫组织化学分子诊断学和基因诊断学产品，	面议液基细胞学免疫组织化学分子诊断学和基因诊断学产品，
在香港*及全球发行*百万股普通股，共募得约*亿美元。	母的港*及全球发行*百万股普通股，共募得约*亿美元。
药品上市许可人制度主要涉及药品皀上市审批与生产，	直读上市许可人制度主要涉及药品皀上市审批与生产，
以欧盟的英夫利西单抗类似药*为例，	息单盟的英夫利西单抗类似药*为例，
从而也就导致财务费用在流通企业的三项费用中一直占比较大，	聪而也就导致财务费用在流通企业的三项费用中一直占比较大，
带来更好的疗效和安全性。	安全星好的疗效和安全性。
从*年*年前*月数据看，	年千年*年前*月数据看，
从进展来上说，分级诊疗直到*年才会全面落地，	知道展来上说，分级诊疗直到*年才会全面落地，
医疗服务项目此消彼长，	词小臂章项目此消彼长，
这也与*的有关觃定相符。	相辅与*的有关觃定相符。
严格控制医疗支出，为保险公司省钱。	掷出控制医疗支出，为保险公司省钱。
卫健委对国内医疗信息化系统的技术水平等级要求越来越高。	信息花对国内医疗信息化系统的技术水平等级要求越来越高。
*年是源于新医改三年行动计划的医保放量；	散年是源于新医改三年行动计划的医保放量；
公司业务创新延伸布局工业*和智能医疗机器人领域，	公业业务创新延伸布局工业*和智能医疗机器人领域，
*年上半年公司实现营收*亿元净利润*万元。	商半年半年公司实现营收*亿元净利润*万元。
导致中药和中医饱叐诟病。	购病中药和中医饱叐诟病。
*年上海医药的*药房业务约占*的市场份额，	业五上海医药的*药房业务约占*的市场份额，
*千红制药稳健经营，制剂和原料药并进。	之际红制药稳健经营，制剂和原料药并进。
国内龙头与国际龙头差距明显，	过继龙头与国际龙头差距明显，
大部分位居当年涨跌幅前*的股票均由业务拐点或业绩高增长驱动。	龋洞分位居当年涨跌幅前*的股票均由业务拐点或业绩高增长驱动。
并从母公司独立；目前的生物药*龙头*从*年正式介入生物制药领域并开始一系列布局扩张，	木前母公司独立；目前的生物药*龙头*从*年正式介入生物制药领域并开始一系列布局扩张，
医疗服务板块跌幅最小为*，	服物服务板块跌幅最小为*，
发病前有**天的潜伏期时间。	事件前有**天的潜伏期时间。
这些小流通商往往正是单体药店的上游，	药典小流通商往往正是单体药店的上游，
老百姓旗舰店和大店占比最高，	打点姓旗舰店和大店占比最高，
